Package	Version	Built
rngtools	1.5.2	R 4.6.1; ; 2026-09-13 18:43:07 UTC; unix
ROCR	1.0-12	R 4.6.1; ; 2026-09-13 17:34:14 UTC; unix
roxygen2	8.1.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:30:32 UTC; unix
rprojroot	2.1.1	R 4.6.1; ; 2026-09-13 17:33:51 UTC; unix
Rsamtools	2.28.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:32:31 UTC; unix
RSpectra	0.16-2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:03:04 UTC; unix
RSQLite	3.53.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:35:40 UTC; unix
rstudioapi	0.19.0	R 4.6.1; ; 2026-09-13 18:05:22 UTC; unix
rsvd	1.0.5	R 4.6.1; ; 2026-09-13 18:09:40 UTC; unix
rsvg	2.7.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 23:47:08 UTC; unix
rtracklayer	1.72.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:44:31 UTC; unix
Rtsne	0.17	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:35:21 UTC; unix
RUnit	0.4.33.1	R 4.6.1; ; 2026-09-13 19:15:32 UTC; unix
rversions	3.0.0	R 4.6.1; ; 2026-09-13 19:15:04 UTC; unix
rvest	1.0.5	R 4.6.1; ; 2026-09-13 19:24:25 UTC; unix
s2	1.1.12	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 19:19:11 UTC; unix
S4Arrays	1.12.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:27:17 UTC; unix
S4Vectors	0.50.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:25:05 UTC; unix
ScaledMatrix	1.20.0	R 4.6.1; ; 2026-09-13 18:34:32 UTC; unix
scater	1.40.2	R 4.6.1; ; 2026-09-13 20:43:03 UTC; unix
scattermore	1.2	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:08:47 UTC; unix
scatterpie	0.2.6	R 4.6.1; ; 2026-09-21 17:17:05 UTC; unix
scDblFinder	1.26.7	R 4.6.1; ; 2026-09-13 20:45:12 UTC; unix
SCENIC	1.3.1	R 4.6.1; ; 2026-09-13 20:01:25 UTC; unix
scran	1.40.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:43:27 UTC; unix
scrapper	1.6.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:37:56 UTC; unix
sctransform	0.4.3	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 20:08:54 UTC; unix
scuttle	1.22.0	R 4.6.1; x86_64-pc-linux-gnu; 2026-09-13 18:37:09 UTC; unix
segmented	2.2-2	R 4.6.1; ; 2026-09-13 18:11:57 UTC; unix
selectr	0.6-0	R 4.6.1; ; 2026-09-13 17:54:25 UTC; unix
Seqinfo	1.2.0	R 4.6.1; ; 2026-09-13 18:27:10 UTC; unix
sessioninfo	1.2.4	R 4.6.1; ; 2026-09-13 19:14:23 UTC; unix
